operation	description	index	ah	av	lh	lv	rh	rv
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	0	100	100	100	100	100	100
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	1	149.574074074	100	149.574074074	100	149.574074074	100
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	2	209.062962963	100	209.062962963	100	209.062962963	100
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	3	258.637037037	100	258.637037037	100	258.637037037	100
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	4	328.040740741	100	328.040740741	100	328.040740741	100
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	5	397.444444444	100	397.444444444	100	397.444444444	100
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	6	397.444444444	135.2	397.444444444	135.2	397.444444444	135.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	7	328.040740741	135.2	328.040740741	135.2	328.040740741	135.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	8	258.637037037	135.2	258.637037037	135.2	258.637037037	135.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	9	209.062962963	135.2	209.062962963	135.2	209.062962963	135.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	10	149.574074074	135.2	149.574074074	135.2	149.574074074	135.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	11	100	135.2	100	135.2	100	135.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	12	100	179.2	100	179.2	100	179.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	13	149.574074074	179.2	149.574074074	179.2	149.574074074	179.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	14	209.062962963	179.2	209.062962963	179.2	209.062962963	179.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	15	258.637037037	179.2	258.637037037	179.2	258.637037037	179.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	16	328.040740741	179.2	328.040740741	179.2	328.040740741	179.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	17	397.444444444	179.2	397.444444444	179.2	397.444444444	179.2
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	18	397.444444444	232	397.444444444	232	397.444444444	232
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	19	328.040740741	232	328.040740741	232	328.040740741	232
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	20	258.637037037	232	258.637037037	232	258.637037037	232
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	21	209.062962963	232	209.062962963	232	209.062962963	232
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	22	149.574074074	232	149.574074074	232	149.574074074	232
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	23	100	232	100	232	100	232
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	24	100	276	100	276	100	276
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	25	149.574074074	276	149.574074074	276	149.574074074	276
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	26	209.062962963	276	209.062962963	276	209.062962963	276
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	27	258.637037037	276	258.637037037	276	258.637037037	276
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	28	328.040740741	276	328.040740741	276	328.040740741	276
ft-none	Free Transform mode, top-right corner dragged up and right, no modifier	29	397.444444444	276	397.444444444	276	397.444444444	276
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	0	100	100	100	100	100	100
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	1	142.775327497	100	142.775327497	100	142.775327497	100
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	2	197.486395439	100	197.486395439	100	197.486395439	100
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	3	246.174394736	100	246.174394736	100	246.174394736	100
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	4	319.614124285	100	319.614124285	100	319.614124285	100
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	5	400	100	400	100	400	100
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	6	410.493119266	142.794342508	410.493119266	142.794342508	410.493119266	142.794342508
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	7	326.937151707	140.797485461	326.937151707	140.797485461	326.937151707	140.797485461
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	8	250.831278108	138.978674017	250.831278108	138.978674017	250.831278108	138.978674017
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	9	200.496309315	137.775746924	200.496309315	137.775746924	200.496309315	137.775746924
