case	fixture	source	destination	inputBounds	kind	index	ah	av	lh	lv	rh	rv
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	0	100	100	100	100	100	100
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	1	150	100	150	100	150	100
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	2	210	100	210	100	210	100
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	3	260	100	260	100	260	100
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	4	330	100	330	100	330	100
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	5	400	100	400	100	400	100
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	6	400	140	400	140	400	140
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	7	330	140	330	140	330	140
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	8	260	140	260	140	260	140
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	9	210	140	210	140	210	140
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	10	150	140	150	140	150	140
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	11	100	140	100	140	100	140
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	12	100	190	100	190	100	190
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	13	150	190	150	190	150	190
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	14	210	190	210	190	210	190
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	15	260	190	260	190	260	190
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	16	330	190	330	190	330	190
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	17	400	190	400	190	400	190
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	18	400	250	400	250	400	250
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	19	330	250	330	250	330	250
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	20	260	250	260	250	260	250
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	21	210	250	210	250	210	250
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	22	150	250	150	250	150	250
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	23	100	250	100	250	100	250
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	24	100	300	100	300	100	300
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	25	150	300	150	300	150	300
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	26	210	300	210	300	210	300
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	27	260	300	260	300	260	300
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	28	330	300	330	300	330	300
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	S	29	400	300	400	300	400	300
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	0	70	80	70	80	70	80
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	1	120	88.333333333	120	88.333333333	120	88.333333333
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	2	180	98.333333333	180	98.333333333	180	98.333333333
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	3	230	106.666666667	230	106.666666667	230	106.666666667
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	4	300	118.333333333	300	118.333333333	300	118.333333333
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	5	370	130	370	130	370	130
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	6	386	162	386	162	386	162
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	7	315.066666667	155.466666667	315.066666667	155.466666667	315.066666667	155.466666667
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	8	244.133333333	148.933333333	244.133333333	148.933333333	244.133333333	148.933333333
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	9	193.466666667	144.266666667	193.466666667	144.266666667	193.466666667	144.266666667
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	10	132.666666667	138.666666667	132.666666667	138.666666667	132.666666667	138.666666667
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	11	82	134	82	134	82	134
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	12	97	201.5	97	201.5	97	201.5
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	13	148.5	201.583333333	148.5	201.583333333	148.5	201.583333333
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	14	210.3	201.683333333	210.3	201.683333333	210.3	201.683333333
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	15	261.8	201.766666667	261.8	201.766666667	261.8	201.766666667
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	16	333.9	201.883333333	333.9	201.883333333	333.9	201.883333333
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	17	406	202	406	202	406	202
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	18	430	250	430	250	430	250
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	19	356.5	257.583333333	356.5	257.583333333	356.5	257.583333333
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	20	283	265.166666667	283	265.166666667	283	265.166666667
grid-source-is-bounds	grid	100,300,400,100	130,350,450,290,70,80,370,130	100,300,400,100	R	21	230.5	270.583333333	230.5	270.583333333	230.5	270.583333333
