probe	group	case	expected	observed	status
numeric	units	a field typed '12.5' is taken as 12,5 pt	12,5 pt	accepted yes, 12.5 pt, shown as 12,5 pt	PASS
numeric	units	a field typed '12,5' is taken as 12,5 pt	12,5 pt	accepted yes, 12.5 pt, shown as 12,5 pt	PASS
numeric	units	a field typed '1 in' is taken as 72 pt	72 pt	accepted yes, 72 pt, shown as 72 pt	PASS
numeric	units	a field typed '3 mm' is taken as 8,50393700787 pt	8,50393700787 pt	accepted yes, 8.50393700787 pt, shown as 8,503937007874 pt	PASS
numeric	units	a field typed '10+5' is taken as 15 pt	15 pt	accepted yes, 15 pt, shown as 15 pt	PASS
numeric	units	a field typed '-15.5 pt' is taken as -15,5 pt	-15,5 pt	accepted yes, -15.5 pt, shown as -15,5 pt	PASS
numeric	units	a field typed '12.3456789' is taken as 12,3456789 pt	12,3456789 pt	accepted yes, 12.3456789 pt, shown as 12,3456789 pt	PASS
numeric	units	a field typed 'abc' is not a number	not accepted	accepted no	PASS
numeric	units	how Illustrator formats 12.3456789 pt for a field		12,3457 pt	MEASURED
numeric	ruler	the dialog's positions are the ruler's, as Illustrator's artboard coordinates give them	90,270	90,270	PASS
numeric	ruler	the ruler conversion round-trips exactly	90,330	90,330	PASS
numeric	ruler	AIHardSoftSuite::ConvertCoordinates back from the ruler, with convertForDisplay, for contrast		90,-870	MEASURED
numeric	dialog	OK with nothing typed changes nothing, though a field shows fewer digits than the corner has	(90,330 400.123456789,330 90,100 340,100)	(90,330 400.123456789,330 90,100 340,100); field showed 400,1234 pt; OK with nothing changed	PASS
numeric	dialog	...and adds no undo step	past 0	past 0	PASS
numeric	dialog	a dialog opened for a test does not take the foreground	not the foreground window	not foreground	PASS
numeric	dialog	an offset of 25 pt on the bottom-right X moves that corner 25 pt right of the undistorted corner	(90,330 400.123456789,330 90,100 365,100)	(90,330 400.123456789,330 90,100 365,100); committed (90,330 400.123456789,330 90,100 365,100)	PASS
numeric	dialog	...as exactly one undo step	past 1	past 1	PASS
numeric	dialog	...which one Undo takes back	(90,330 400.123456789,330 90,100 340,100)	(90,330 400.123456789,330 90,100 340,100)	PASS
numeric	dialog	a position of 200 pt on the top-left Y puts that corner 200 pt below the artboard top, as the ruler measures	(90,400 400.123456789,330 90,100 340,100)	(90,400 400.123456789,330 90,100 340,100); committed (90,400 400.123456789,330 90,100 340,100)	PASS
numeric	dialog	Cancel after typing and previewing puts the dictionary back exactly	(90,330 400.123456789,330 90,100 340,100)	(90,330 400.123456789,330 90,100 340,100); canceled	PASS
numeric	dialog	...and leaves no undo step	past 0	past 0	PASS
numeric	dialog	the up arrow in a field steps it by one ruler unit, twice	(90,330 402.123456789,330 90,100 340,100)	(90,330 402.123456789,330 90,100 340,100); field showed 402,1234 pt	PASS
numeric	dialog	Enter in a field typed 1 in takes it and closes: the bottom-left X is 72 pt on the ruler	(90,330 400.123456789,330 72,100 340,100)	(90,330 400.123456789,330 72,100 340,100); committed (90,330 400.123456789,330 72,100 340,100)	PASS
numeric	keys	with a corner selected, Right then Up move that corner by the keyboard increment each	(90,330 400.123456789,330 90,100 340.0028,100.0028)	(90,330 400.123456789,330 90,100 340.0028,100.0028); increment 0.0028; 2, last: moved corner 3 by 0,0.0028	PASS
numeric	keys	...one undo step per key	past 2	past 2	PASS
numeric	keys	...and the art itself is not nudged	90,330,340,100;...	90,330,340,100;90,330,381.825865592,100.000112	PASS
numeric	keys	with no corner selected, Right is left to Illustrator: the art geometry, and the dictionary		90,330,340,100;90,330,381.825013418,100; (90,330 400.123456789,330 90,100 340,100)	MEASURED
numeric	keys	with no corner selected, the plugin does not touch the dictionary	(90,330 400.123456789,330 90,100 340,100)	(90,330 400.123456789,330 90,100 340,100)	PASS
