case	fixture	stored source	stored destination	committed source	committed destination	commit changed the drawing
move	move	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	140,350,390,350,140,120,390,120	160,370,440,340,120,110,410,140	no
scale-uniform-effects-scaled	scale-uniform-effects-scaled	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	27.5,387.5,402.5,387.5,27.5,42.5,402.5,42.5	57.5,417.5,477.5,372.5,-2.5,27.5,432.5,72.5	no
scale-non-uniform	scale-non-uniform	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	27.5,284,402.5,284,27.5,146,402.5,146	57.5,296,477.5,278,-2.5,140,432.5,158	no
scale-non-uniform-effects-scaled	scale-non-uniform-effects-scaled	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	27.5,284,402.5,284,27.5,146,402.5,146	57.5,296,477.5,278,-2.5,140,432.5,158	no
rotate-30	rotate-30	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	94.2468251221,316.47114442,336.112159901,316.47114442,94.2468251221,57.9070779515,336.112159901,57.9070779515	113.596051904,338.954976287,384.485226857,305.229228486,74.8975983398,46.6651620181,355.461386684,80.3909098183	no
rotate-90	rotate-90	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	100.00000153,339.999998033,330.000005027,339.999998033,100.00000153,89.9999989072,330.000005027,89.9999989072	118.40000181,361.739128392,376.000005726,329.130432854,81.6000012501,79.1304337278,348.400005307,111.739129266	no
reflect	reflect	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	no
shear-20	shear-20	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	58.1434230594,330,356.378660542,330,58.1434230594,100,356.378660542,100	82.002242058,350,416.025708038,320,34.2846040608,90,380.237479541,120	no
reshape-anchor-out	reshape-anchor-out	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	90,330,440,330,90,100,440,100	118,350,510,320,62,90,468,120	no
reshape-anchor-in	reshape-anchor-in	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	90,330,300,330,90,100,300,100	106.8,350,342,320,73.2,90,316.8,120	no
add-anchor	add-anchor	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	60,330,340,330,60,60,340,60	82.4,353.47826087,396,318.260869565,37.6,48.2608695652,362.4,83.4782608696	no
remove-anchor	remove-anchor	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	90,260,340,260,90,100,340,100	110,273.913043478,390,253.043478261,70,93.0434782609,360,113.913043478	no
curve-handle	curve-handle	90,330,340,330,90,100,340,100	110,350,390,320,70,90,360,120	90,330,366.12244898,330,90,100,366.12244898,100	112.089795918,350,421.346938776,320,67.9102040816,90,388.212244898,120	no
