case	kind	index	ah	av	lh	lv	rh	rv
move	S	0	150	120	150	120	150	120
move	S	1	350	140	350	140	350	140
move	S	2	390	280	390	280	390	280
move	S	3	230	350	230	350	230	350
move	S	4	140	260	140	260	140	260
move	R	0	131.6	111.2	131.6	111.2	131.6	111.2
move	R	1	366.347826087	153.426086957	366.347826087	153.426086957	366.347826087	153.426086957
move	R	2	430.869565217	279.130434783	430.869565217	279.130434783	430.869565217	279.130434783
move	R	3	260.8	359.2	260.8	359.2	260.8	359.2
move	R	4	144.347826087	268.260869565	144.347826087	268.260869565	144.347826087	268.260869565
scale-uniform-effects-scaled	S	0	42.5	42.5	42.5	42.5	42.5	42.5
scale-uniform-effects-scaled	S	1	342.5	72.5	342.5	72.5	342.5	72.5
scale-uniform-effects-scaled	S	2	402.5	282.5	402.5	282.5	402.5	282.5
scale-uniform-effects-scaled	S	3	162.5	387.5	162.5	387.5	162.5	387.5
scale-uniform-effects-scaled	S	4	27.5	252.5	27.5	252.5	27.5	252.5
scale-uniform-effects-scaled	R	0	14.9	29.3	14.9	29.3	14.9	29.3
scale-uniform-effects-scaled	R	1	367.02173913	92.639130435	367.02173913	92.639130435	367.02173913	92.639130435
scale-uniform-effects-scaled	R	2	463.804347826	281.195652174	463.804347826	281.195652174	463.804347826	281.195652174
scale-uniform-effects-scaled	R	3	208.7	401.3	208.7	401.3	208.7	401.3
scale-uniform-effects-scaled	R	4	34.02173913	264.891304348	34.02173913	264.891304348	34.02173913	264.891304348
scale-non-uniform	S	0	42.5	146	42.5	146	42.5	146
scale-non-uniform	S	1	342.5	158	342.5	158	342.5	158
scale-non-uniform	S	2	402.5	242	402.5	242	402.5	242
scale-non-uniform	S	3	162.5	284	162.5	284	162.5	284
scale-non-uniform	S	4	27.5	230	27.5	230	27.5	230
scale-non-uniform	R	0	14.9	140.72	14.9	140.72	14.9	140.72
scale-non-uniform	R	1	367.02173913	166.055652174	367.02173913	166.055652174	367.02173913	166.055652174
scale-non-uniform	R	2	463.804347826	241.47826087	463.804347826	241.47826087	463.804347826	241.47826087
scale-non-uniform	R	3	208.7	289.52	208.7	289.52	208.7	289.52
scale-non-uniform	R	4	34.02173913	234.956521739	34.02173913	234.956521739	34.02173913	234.956521739
scale-non-uniform-effects-scaled	S	0	42.5	146	42.5	146	42.5	146
scale-non-uniform-effects-scaled	S	1	342.5	158	342.5	158	342.5	158
scale-non-uniform-effects-scaled	S	2	402.5	242	402.5	242	402.5	242
scale-non-uniform-effects-scaled	S	3	162.5	284	162.5	284	162.5	284
scale-non-uniform-effects-scaled	S	4	27.5	230	27.5	230	27.5	230
scale-non-uniform-effects-scaled	R	0	14.9	140.72	14.9	140.72	14.9	140.72
scale-non-uniform-effects-scaled	R	1	367.02173913	166.055652174	367.02173913	166.055652174	367.02173913	166.055652174
scale-non-uniform-effects-scaled	R	2	463.804347826	241.47826087	463.804347826	241.47826087	463.804347826	241.47826087
scale-non-uniform-effects-scaled	R	3	208.7	289.52	208.7	289.52	208.7	289.52
scale-non-uniform-effects-scaled	R	4	34.02173913	234.956521739	34.02173913	234.956521739	34.02173913	234.956521739
rotate-30	S	0	172.907080854	57.907077951	172.907080854	57.907077951	172.907080854	57.907077951
rotate-30	S	1	336.112159901	175.227588405	336.112159901	175.227588405	336.112159901	175.227588405
rotate-30	S	2	300.753173995	316.47114442	300.753173995	316.47114442	300.753173995	316.47114442
rotate-30	S	3	127.189109671	297.092920156	127.189109671	297.092920156	127.189109671	297.092920156
rotate-30	S	4	94.246825122	174.150633335	94.246825122	174.150633335	94.246825122	174.150633335
rotate-30	R	0	166.143494988	57.633562881	166.143494988	57.633562881	166.143494988	57.633562881
rotate-30	R	1	368.630624741	182.408744995	368.630624741	182.408744995	368.630624741	182.408744995
rotate-30	R	2	344.883162642	310.159692136	344.883162642	310.159692136	344.883162642	310.159692136
rotate-30	R	3	147.689889094	313.144200652	147.689889094	313.144200652	147.689889094	313.144200652
rotate-30	R	4	92.29539801	178.070920278	92.29539801	178.070920278	92.29539801	178.070920278
rotate-90	S	0	330.000005027	100.000005027	330.000005027	100.000005027	330.000005027	100.000005027
rotate-90	S	1	309.999996285	300.000004153	309.999996285	300.000004153	309.999996285	300.000004153
rotate-90	S	2	169.999994536	339.999998033	169.999994536	339.999998033	169.999994536	339.999998033
rotate-90	S	3	100.00000153	179.999994973	100.00000153	179.999994973	100.00000153	179.999994973
rotate-90	S	4	190.000005464	89.999998907	190.000005464	89.999998907	190.000005464	89.999998907
rotate-90	R	0	349.504006003	120.434786761	349.504006003	120.434786761	349.504006003	120.434786761
rotate-90	R	1	349.055996491	296.275996773	349.055996491	296.275996773	349.055996491	296.275996773
rotate-90	R	2	196.799993977	351.814743936	196.799993977	351.814743936	196.799993977	351.814743936
rotate-90	R	3	94.848000919	180.869559715	94.848000919	180.869559715	94.848000919	180.869559715
rotate-90	R	4	186.000005814	91.890358433	186.000005814	91.890358433	186.000005814	91.890358433
reflect	S	0	330	100	330	100	330	100
reflect	S	1	130	120	130	120	130	120
reflect	S	2	90	260	90	260	90	260
reflect	S	3	250	330	250	330	250	330
reflect	S	4	340	240	340	240	340	240
reflect	R	0	348.4	118.8	348.4	118.8	348.4	118.8
reflect	R	1	119.739130435	116.573913043	119.739130435	116.573913043	119.739130435	116.573913043
