case	fixture	stored source	stored destination	committed source	committed destination	commit changed the drawing
rect-bounds-general	EFD.grid('fx')	100,300,400,300,100,100,400,100	130,350,450,290,70,80,370,130	100,300,400,300,100,100,400,100	130,350,450,290,70,80,370,130	no
rect-inset-general	EFD.grid('fx')	120,280,380,280,120,110,380,110	130,350,450,290,70,80,370,130	100,300,400,300,100,100,400,100	111.538461538,382.352941176,480.769230769,311.764705882,42.3076923077,64.7058823529,388.461538462,123.529411765	no
src-key0+37	EFD.grid('fx')	137,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	57.7946768061,300,400,300,100,100,400,100	no
src-key0-37	EFD.grid('fx')	63,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	132.93768546,300,400,300,100,100,400,100	no
src-key1+37	EFD.grid('fx')	100,337,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,268.776371308,400,300,100,100,400,100	no
src-key1-37	EFD.grid('fx')	100,263,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,345.398773006,400,300,100,100,400,100	no
src-key2+37	EFD.grid('fx')	100,300,437,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,367.06231454,300,100,100,400,100	no
src-key2-37	EFD.grid('fx')	100,300,363,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,442.205323194,300,100,100,400,100	no
src-key3+37	EFD.grid('fx')	100,300,400,337,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,263,100,100,400,100	no
src-key3-37	EFD.grid('fx')	100,300,400,263,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,337,100,100,400,100	no
src-key4+37	EFD.grid('fx')	100,300,400,300,137,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,63,100,400,100	no
src-key4-37	EFD.grid('fx')	100,300,400,300,63,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,137,100,400,100	no
src-key5+37	EFD.grid('fx')	100,300,400,300,100,137,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,54.6012269939,400,100	no
src-key5-37	EFD.grid('fx')	100,300,400,300,100,63,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,131.223628692,400,100	no
src-key6+37	EFD.grid('fx')	100,300,400,300,100,100,437,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,363,100	no
src-key6-37	EFD.grid('fx')	100,300,400,300,100,100,363,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,437,100	no
src-key7+37	EFD.grid('fx')	100,300,400,300,100,100,400,137	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,63	no
src-key7-37	EFD.grid('fx')	100,300,400,300,100,100,400,63	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,137	no
src-keys01	EFD.grid('fx')	137,323,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	62.1476922028,276.470187045,400,300,100,100,400,100	no
src-keys02	EFD.grid('fx')	137,300,423,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	61.1888111888,300,375.874125874,300,100,100,400,100	no
src-keys03	EFD.grid('fx')	137,300,400,323,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	57.7946768061,303.235741445,400,277,100,100,400,100	no
src-keys04	EFD.grid('fx')	137,300,400,300,123,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	57.7946768061,300,400,300,73.7642585551,100,400,100	no
src-keys05	EFD.grid('fx')	137,300,400,300,100,123,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	57.7946768061,300,400,300,105.484307534,70.3550944126,400,100	no
src-keys06	EFD.grid('fx')	137,300,400,300,100,100,423,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	57.7946768061,300,400,300,103.235741445,100,377,100	no
src-keys07	EFD.grid('fx')	137,300,400,300,100,100,400,123	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	57.7946768061,300,400,300,100,103.235741445,400,77	no
src-keys12	EFD.grid('fx')	100,337,423,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,268.776371308,381.972802445,297.776645635,100,100,400,100	no
src-keys13	EFD.grid('fx')	100,337,400,323,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,268.776371308,400,280.5907173,100,100,400,100	no
src-keys14	EFD.grid('fx')	100,337,400,300,123,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	96.4092827004,268.776371308,400,300,77,100,400,100	no
src-keys15	EFD.grid('fx')	100,337,400,300,100,123,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,265.420560748,400,300,100,78.5046728972,400,100	no
src-keys16	EFD.grid('fx')	100,337,400,300,100,100,423,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,268.776371308,396.4092827,300,100,100,377,100	no
src-keys17	EFD.grid('fx')	100,337,400,300,100,100,400,123	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,268.776371308,400,296.4092827,100,100,400,77	no
src-keys23	EFD.grid('fx')	100,300,437,323,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,367.06231454,279.525222552,100,100,400,100	no
src-keys24	EFD.grid('fx')	100,300,437,300,123,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,367.06231454,300,77,100,397.474777448,100	no
src-keys25	EFD.grid('fx')	100,300,437,300,100,123,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,367.06231454,300,100,74.011299435,404.280038224,97.1466411843	no
src-keys26	EFD.grid('fx')	100,300,437,300,100,100,423,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,367.06231454,300,100,100,379.525222552,100	no
src-keys27	EFD.grid('fx')	100,300,437,300,100,100,400,123	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,367.06231454,300,100,100,400,79.5252225519	no
src-keys34	EFD.grid('fx')	100,300,400,337,123,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,263,77,100,400,100	no
src-keys35	EFD.grid('fx')	100,300,400,337,100,123,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,263,100,74.011299435,400,104.807909605	no
src-keys36	EFD.grid('fx')	100,300,400,337,100,100,423,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,263,100,100,377,100	no
src-keys37	EFD.grid('fx')	100,300,400,337,100,100,400,123	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,263,100,100,400,77	no
src-keys45	EFD.grid('fx')	100,300,400,300,137,123,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,58.1920903955,74.011299435,400,100	no
src-keys46	EFD.grid('fx')	100,300,400,300,137,100,423,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,63,100,377,100	no
src-keys47	EFD.grid('fx')	100,300,400,300,137,100,400,123	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,63,100,400,77	no
src-keys56	EFD.grid('fx')	100,300,400,300,100,137,423,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,54.6012269939,371.779141104,100	no
src-keys57	EFD.grid('fx')	100,300,400,300,100,137,400,123	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,54.6012269939,400,71.7791411043	no
src-keys67	EFD.grid('fx')	100,300,400,300,100,100,437,123	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,363,77	no
convex-identity	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	105.82345191,283.636363636,384.87483531,314.466403162,73.1488801054,107.878787879,415.441370224,83.372859025	no
convex-general	EFD.grid('fx')	90,320,420,280,130,90,380,120	130,350,450,290,70,80,370,130	100,300,400,300,100,100,400,100	140.316205534,332.042160738,433.438735178,307.588932806,35.0197628458,93.3069828722,377.575757576,119.657444005	no
convex-dst-key0+37	EFD.grid('fx')	90,320,420,280,130,90,380,120	137,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	140.239789196,287.438735178,384.87483531,314.466403162,73.1488801054,107.878787879,415.441370224,83.372859025	no
convex-dst-key1+37	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,337,400,300,100,100,400,100	100,300,400,300,100,100,400,100	111.868247694,316.151515152,384.87483531,314.466403162,73.1488801054,107.878787879,415.441370224,83.372859025	no
convex-dst-key2+37	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,437,300,100,100,400,100	100,300,400,300,100,100,400,100	105.82345191,283.636363636,419.291172596,318.268774704,73.1488801054,107.878787879,415.441370224,83.372859025	no
convex-dst-key3+37	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,400,337,100,100,400,100	100,300,400,300,100,100,400,100	105.82345191,283.636363636,379.22002635,357.218708827,73.1488801054,107.878787879,415.441370224,83.372859025	no
convex-dst-key4+37	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,400,300,137,100,400,100	100,300,400,300,100,100,400,100	105.82345191,283.636363636,384.87483531,314.466403162,115.364953887,104.856389987,415.441370224,83.372859025	no
convex-dst-key5+37	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,400,300,100,137,400,100	100,300,400,300,100,100,400,100	105.82345191,283.636363636,384.87483531,314.466403162,79.1936758893,140.393939394,415.441370224,83.372859025	no
convex-dst-key6+37	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,400,300,100,100,437,100	100,300,400,300,100,100,400,100	105.82345191,283.636363636,384.87483531,314.466403162,73.1488801054,107.878787879,457.657444005,80.3504611331	no
convex-dst-key7+37	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,400,300,100,100,400,137	100,300,400,300,100,100,400,100	105.82345191,283.636363636,384.87483531,314.466403162,73.1488801054,107.878787879,409.786561265,126.12516469	no
convex-dst-corner0-diagonal	EFD.grid('fx')	90,320,420,280,130,90,380,120	137,337,400,300,100,100,400,100	100,300,400,300,100,100,400,100	144.841633729,321.216469038,384.87483531,314.466403162,73.1488801054,107.878787879,415.441370224,83.372859025	no
convex-dst-corner0-at-corner3	EFD.grid('fx')	90,320,420,280,130,90,380,120	400,100,400,300,100,100,400,100	100,300,400,300,100,100,400,100	415.441370224,83.372859025,384.87483531,314.466403162,73.1488801054,107.878787879,415.441370224,83.372859025	no
convex-dst-corner1-diagonal	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,437,337,100,100,400,100	100,300,400,300,100,100,400,100	105.82345191,283.636363636,412.193412385,362.283662714,73.1488801054,107.878787879,415.441370224,83.372859025	no
convex-dst-corner1-at-corner2	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,100,100,100,100,400,100	100,300,400,300,100,100,400,100	105.82345191,283.636363636,73.1488801054,107.878787879,73.1488801054,107.878787879,415.441370224,83.372859025	no
convex-dst-corner2-diagonal	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,400,300,137,137,400,100	100,300,400,300,100,100,400,100	105.82345191,283.636363636,384.87483531,314.466403162,119.966798419,138.634123847,415.441370224,83.372859025	no
convex-dst-corner2-at-corner1	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,400,300,400,300,400,100	100,300,400,300,100,100,400,100	105.82345191,283.636363636,384.87483531,314.466403162,384.87483531,314.466403162,415.441370224,83.372859025	no
convex-dst-corner3-diagonal	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,400,300,100,100,437,137	100,300,400,300,100,100,400,100	105.82345191,283.636363636,384.87483531,314.466403162,73.1488801054,107.878787879,450.559683794,124.365349144	no
convex-dst-corner3-at-corner0	EFD.grid('fx')	90,320,420,280,130,90,380,120	100,300,400,300,100,100,100,300	100,300,400,300,100,100,400,100	105.82345191,283.636363636,384.87483531,314.466403162,73.1488801054,107.878787879,105.82345191,283.636363636	no
trapezoid-identity	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	0,300,500,300,100,100,400,100	no
trapezoid-general	EFD.grid('fx')	160,300,340,300,100,100,400,100	130,350,450,290,70,80,370,130	100,300,400,300,100,100,400,100	30,350,576.666666667,290,82,80,382,130	no
trapezoid-dst-key0+37	EFD.grid('fx')	160,300,340,300,100,100,400,100	137,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	61.6666666667,300,500,300,100,100,400,100	no
trapezoid-dst-key1+37	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,337,400,300,100,100,400,100	100,300,400,300,100,100,400,100	-18.5,337,500,300,100,100,400,100	no
trapezoid-dst-key2+37	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,437,300,100,100,400,100	100,300,400,300,100,100,400,100	0,300,561.666666667,300,100,100,400,100	no
trapezoid-dst-key3+37	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,400,337,100,100,400,100	100,300,400,300,100,100,400,100	0,300,518.5,337,100,100,400,100	no
