case	kind	index	ah	av	lh	lv	rh	rv
FDP.grid('fx')	S	0	100	100	100	100	100	100
FDP.grid('fx')	S	1	150	100	150	100	150	100
FDP.grid('fx')	S	2	210	100	210	100	210	100
FDP.grid('fx')	S	3	260	100	260	100	260	100
FDP.grid('fx')	S	4	330	100	330	100	330	100
FDP.grid('fx')	S	5	400	100	400	100	400	100
FDP.grid('fx')	S	6	400	140	400	140	400	140
FDP.grid('fx')	S	7	330	140	330	140	330	140
FDP.grid('fx')	S	8	260	140	260	140	260	140
FDP.grid('fx')	S	9	210	140	210	140	210	140
FDP.grid('fx')	S	10	150	140	150	140	150	140
FDP.grid('fx')	S	11	100	140	100	140	100	140
FDP.grid('fx')	S	12	100	190	100	190	100	190
FDP.grid('fx')	S	13	150	190	150	190	150	190
FDP.grid('fx')	S	14	210	190	210	190	210	190
FDP.grid('fx')	S	15	260	190	260	190	260	190
FDP.grid('fx')	S	16	330	190	330	190	330	190
FDP.grid('fx')	S	17	400	190	400	190	400	190
FDP.grid('fx')	S	18	400	250	400	250	400	250
FDP.grid('fx')	S	19	330	250	330	250	330	250
FDP.grid('fx')	S	20	260	250	260	250	260	250
FDP.grid('fx')	S	21	210	250	210	250	210	250
FDP.grid('fx')	S	22	150	250	150	250	150	250
FDP.grid('fx')	S	23	100	250	100	250	100	250
FDP.grid('fx')	S	24	100	300	100	300	100	300
FDP.grid('fx')	S	25	150	300	150	300	150	300
FDP.grid('fx')	S	26	210	300	210	300	210	300
FDP.grid('fx')	S	27	260	300	260	300	260	300
FDP.grid('fx')	S	28	330	300	330	300	330	300
FDP.grid('fx')	S	29	400	300	400	300	400	300
rect-bounds-general	R	0	70	80	70	80	70	80
rect-bounds-general	R	1	120	88.333333333	120	88.333333333	120	88.333333333
rect-bounds-general	R	2	180	98.333333333	180	98.333333333	180	98.333333333
rect-bounds-general	R	3	230	106.666666667	230	106.666666667	230	106.666666667
rect-bounds-general	R	4	300	118.333333333	300	118.333333333	300	118.333333333
rect-bounds-general	R	5	370	130	370	130	370	130
rect-bounds-general	R	6	386	162	386	162	386	162
rect-bounds-general	R	7	315.066666667	155.466666667	315.066666667	155.466666667	315.066666667	155.466666667
rect-bounds-general	R	8	244.133333333	148.933333333	244.133333333	148.933333333	244.133333333	148.933333333
rect-bounds-general	R	9	193.466666667	144.266666667	193.466666667	144.266666667	193.466666667	144.266666667
rect-bounds-general	R	10	132.666666667	138.666666667	132.666666667	138.666666667	132.666666667	138.666666667
rect-bounds-general	R	11	82	134	82	134	82	134
rect-bounds-general	R	12	97	201.5	97	201.5	97	201.5
rect-bounds-general	R	13	148.5	201.583333333	148.5	201.583333333	148.5	201.583333333
rect-bounds-general	R	14	210.3	201.683333333	210.3	201.683333333	210.3	201.683333333
rect-bounds-general	R	15	261.8	201.766666667	261.8	201.766666667	261.8	201.766666667
rect-bounds-general	R	16	333.9	201.883333333	333.9	201.883333333	333.9	201.883333333
rect-bounds-general	R	17	406	202	406	202	406	202
rect-bounds-general	R	18	430	250	430	250	430	250
rect-bounds-general	R	19	356.5	257.583333333	356.5	257.583333333	356.5	257.583333333
rect-bounds-general	R	20	283	265.166666667	283	265.166666667	283	265.166666667
rect-bounds-general	R	21	230.5	270.583333333	230.5	270.583333333	230.5	270.583333333
rect-bounds-general	R	22	167.5	277.083333333	167.5	277.083333333	167.5	277.083333333
rect-bounds-general	R	23	115	282.5	115	282.5	115	282.5
rect-bounds-general	R	24	130	350	130	350	130	350
rect-bounds-general	R	25	183.333333333	340	183.333333333	340	183.333333333	340
rect-bounds-general	R	26	247.333333333	328	247.333333333	328	247.333333333	328
rect-bounds-general	R	27	300.666666667	318	300.666666667	318	300.666666667	318
rect-bounds-general	R	28	375.333333333	304	375.333333333	304	375.333333333	304
rect-bounds-general	R	29	450	290	450	290	450	290
rect-inset-general	R	0	42.307692308	64.705882353	42.307692308	64.705882353	42.307692308	64.705882353
rect-inset-general	R	1	100	74.509803922	100	74.509803922	100	74.509803922
rect-inset-general	R	2	169.230769231	86.274509804	169.230769231	86.274509804	169.230769231	86.274509804
rect-inset-general	R	3	226.923076923	96.078431373	226.923076923	96.078431373	226.923076923	96.078431373
rect-inset-general	R	4	307.692307692	109.803921569	307.692307692	109.803921569	307.692307692	109.803921569
rect-inset-general	R	5	388.461538462	123.529411765	388.461538462	123.529411765	388.461538462	123.529411765
rect-inset-general	R	6	406.923076923	161.176470588	406.923076923	161.176470588	406.923076923	161.176470588
rect-inset-general	R	7	325.076923077	153.490196078	325.076923077	153.490196078	325.076923077	153.490196078
rect-inset-general	R	8	243.230769231	145.803921569	243.230769231	145.803921569	243.230769231	145.803921569
rect-inset-general	R	9	184.769230769	140.31372549	184.769230769	140.31372549	184.769230769	140.31372549
rect-inset-general	R	10	114.615384615	133.725490196	114.615384615	133.725490196	114.615384615	133.725490196
rect-inset-general	R	11	56.153846154	128.235294118	56.153846154	128.235294118	56.153846154	128.235294118
rect-inset-general	R	12	73.461538462	207.647058824	73.461538462	207.647058824	73.461538462	207.647058824
rect-inset-general	R	13	132.884615385	207.745098039	132.884615385	207.745098039	132.884615385	207.745098039
rect-inset-general	R	14	204.192307692	207.862745098	204.192307692	207.862745098	204.192307692	207.862745098
rect-inset-general	R	15	263.615384615	207.960784314	263.615384615	207.960784314	263.615384615	207.960784314
rect-inset-general	R	16	346.807692308	208.098039216	346.807692308	208.098039216	346.807692308	208.098039216
rect-inset-general	R	17	430	208.235294118	430	208.235294118	430	208.235294118
rect-inset-general	R	18	457.692307692	264.705882353	457.692307692	264.705882353	457.692307692	264.705882353
rect-inset-general	R	19	372.884615385	273.62745098	372.884615385	273.62745098	372.884615385	273.62745098
rect-inset-general	R	20	288.076923077	282.549019608	288.076923077	282.549019608	288.076923077	282.549019608
rect-inset-general	R	21	227.5	288.921568627	227.5	288.921568627	227.5	288.921568627
rect-inset-general	R	22	154.807692308	296.568627451	154.807692308	296.568627451	154.807692308	296.568627451
rect-inset-general	R	23	94.230769231	302.941176471	94.230769231	302.941176471	94.230769231	302.941176471
rect-inset-general	R	24	111.538461538	382.352941176	111.538461538	382.352941176	111.538461538	382.352941176
rect-inset-general	R	25	173.076923077	370.588235294	173.076923077	370.588235294	173.076923077	370.588235294
rect-inset-general	R	26	246.923076923	356.470588235	246.923076923	356.470588235	246.923076923	356.470588235
rect-inset-general	R	27	308.461538462	344.705882353	308.461538462	344.705882353	308.461538462	344.705882353
rect-inset-general	R	28	394.615384615	328.235294118	394.615384615	328.235294118	394.615384615	328.235294118
rect-inset-general	R	29	480.769230769	311.764705882	480.769230769	311.764705882	480.769230769	311.764705882
src-key0+37	R	0	100	100	100	100	100	100
src-key0+37	R	1	150	100	150	100	150	100
src-key0+37	R	2	210	100	210	100	210	100
src-key0+37	R	3	260	100	260	100	260	100
src-key0+37	R	4	330	100	330	100	330	100
src-key0+37	R	5	400	100	400	100	400	100
src-key0+37	R	6	400	140	400	140	400	140
src-key0+37	R	7	328.030418251	140	328.030418251	140	328.030418251	140
src-key0+37	R	8	256.060836502	140	256.060836502	140	256.060836502	140
src-key0+37	R	9	204.653992395	140	204.653992395	140	204.653992395	140
src-key0+37	R	10	142.965779468	140	142.965779468	140	142.965779468	140
src-key0+37	R	11	91.558935361	140	91.558935361	140	91.558935361	140
src-key0+37	R	12	81.007604563	190	81.007604563	190	81.007604563	190
src-key0+37	R	13	134.173003802	190	134.173003802	190	134.173003802	190
src-key0+37	R	14	197.97148289	190	197.97148289	190	197.97148289	190
src-key0+37	R	15	251.136882129	190	251.136882129	190	251.136882129	190
src-key0+37	R	16	325.568441065	190	325.568441065	190	325.568441065	190
src-key0+37	R	17	400	190	400	190	400	190
src-key0+37	R	18	400	250	400	250	400	250
src-key0+37	R	19	322.614068441	250	322.614068441	250	322.614068441	250
src-key0+37	R	20	245.228136882	250	245.228136882	250	245.228136882	250
src-key0+37	R	21	189.952471483	250	189.952471483	250	189.952471483	250
src-key0+37	R	22	123.621673004	250	123.621673004	250	123.621673004	250
src-key0+37	R	23	68.346007605	250	68.346007605	250	68.346007605	250
src-key0+37	R	24	57.794676806	300	57.794676806	300	57.794676806	300
src-key0+37	R	25	114.828897338	300	114.828897338	300	114.828897338	300
src-key0+37	R	26	183.269961977	300	183.269961977	300	183.269961977	300
src-key0+37	R	27	240.30418251	300	240.30418251	300	240.30418251	300
src-key0+37	R	28	320.152091255	300	320.152091255	300	320.152091255	300
src-key0+37	R	29	400	300	400	300	400	300
src-key0-37	R	0	100	100	100	100	100	100
src-key0-37	R	1	150	100	150	100	150	100
src-key0-37	R	2	210	100	210	100	210	100
src-key0-37	R	3	260	100	260	100	260	100
src-key0-37	R	4	330	100	330	100	330	100
src-key0-37	R	5	400	100	400	100	400	100
src-key0-37	R	6	400	140	400	140	400	140
src-key0-37	R	7	331.537091988	140	331.537091988	140	331.537091988	140
src-key0-37	R	8	263.074183976	140	263.074183976	140	263.074183976	140
src-key0-37	R	9	214.172106825	140	214.172106825	140	214.172106825	140
src-key0-37	R	10	155.489614243	140	155.489614243	140	155.489614243	140
