case	reading	points	E vs Adobe's commit (pt)	drawing vs bilinear onto E (pt)	fits
rect-bounds-general	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
rect-bounds-general	the source's bounding box, renormalized onto the bounds	90	0	4.71e-10	yes
rect-bounds-general	inverse bilinear in the source quad	90	0	4.71e-10	yes
rect-bounds-general	homography from the source quad onto the bounds	90	0	4.71e-10	yes
rect-inset-general	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	6.59e-10	6.59e-10	yes
rect-inset-general	the source's bounding box, renormalized onto the bounds	90	6.59e-10	6.59e-10	yes
rect-inset-general	inverse bilinear in the source quad	90	6.59e-10	6.59e-10	yes
rect-inset-general	homography from the source quad onto the bounds	90	6.59e-10	6.59e-10	yes
src-key0+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	1.63e-11	4.94e-10	yes
src-key0+37	the source's bounding box, renormalized onto the bounds	90	42.2	42.2	no
src-key0+37	inverse bilinear in the source quad	90	1.64e-11	4.94e-10	yes
src-key0+37	homography from the source quad onto the bounds	90	1.63e-11	4.94e-10	yes
src-key0-37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.93e-11	4.9e-10	yes
src-key0-37	the source's bounding box, renormalized onto the bounds	90	32.9	32.9	no
src-key0-37	inverse bilinear in the source quad	90	5.93e-11	4.9e-10	yes
src-key0-37	homography from the source quad onto the bounds	90	5.94e-11	4.9e-10	yes
src-key1+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	1.69e-11	4.94e-10	yes
src-key1+37	the source's bounding box, renormalized onto the bounds	90	31.2	31.2	no
src-key1+37	inverse bilinear in the source quad	90	1.69e-11	4.94e-10	yes
src-key1+37	homography from the source quad onto the bounds	90	1.69e-11	4.94e-10	yes
src-key1-37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	1.35e-10	4.7e-10	yes
src-key1-37	the source's bounding box, renormalized onto the bounds	90	45.4	45.4	no
src-key1-37	inverse bilinear in the source quad	90	1.35e-10	4.7e-10	yes
src-key1-37	homography from the source quad onto the bounds	90	1.35e-10	4.7e-10	yes
src-key2+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.93e-11	4.96e-10	yes
src-key2+37	the source's bounding box, renormalized onto the bounds	90	32.9	32.9	no
src-key2+37	inverse bilinear in the source quad	90	5.94e-11	4.96e-10	yes
src-key2+37	homography from the source quad onto the bounds	90	5.93e-11	4.96e-10	yes
src-key2-37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	8.37e-11	4.98e-10	yes
src-key2-37	the source's bounding box, renormalized onto the bounds	90	42.2	42.2	no
src-key2-37	inverse bilinear in the source quad	90	8.37e-11	4.98e-10	yes
src-key2-37	homography from the source quad onto the bounds	90	8.36e-11	4.98e-10	yes
src-key3+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
src-key3+37	the source's bounding box, renormalized onto the bounds	90	31.2	31.2	no
src-key3+37	inverse bilinear in the source quad	90	5.78	5.78	no
src-key3+37	homography from the source quad onto the bounds	90	5.78	5.78	no
src-key3-37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
src-key3-37	the source's bounding box, renormalized onto the bounds	90	37	37	no
src-key3-37	inverse bilinear in the source quad	90	8.4	8.4	no
src-key3-37	homography from the source quad onto the bounds	90	8.4	8.4	no
src-key4+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
src-key4+37	the source's bounding box, renormalized onto the bounds	90	37	37	no
src-key4+37	inverse bilinear in the source quad	90	5.21	5.21	no
src-key4+37	homography from the source quad onto the bounds	90	5.21	5.21	no
src-key4-37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
src-key4-37	the source's bounding box, renormalized onto the bounds	90	32.9	32.9	no
src-key4-37	inverse bilinear in the source quad	90	4.06	4.06	no
src-key4-37	homography from the source quad onto the bounds	90	4.06	4.06	no
src-key5+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.5e-11	4.7e-10	yes
src-key5+37	the source's bounding box, renormalized onto the bounds	90	45.4	45.4	no
src-key5+37	inverse bilinear in the source quad	90	3.5e-11	4.7e-10	yes
src-key5+37	homography from the source quad onto the bounds	90	3.49e-11	4.7e-10	yes
src-key5-37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	1.69e-11	4.63e-10	yes
src-key5-37	the source's bounding box, renormalized onto the bounds	90	31.2	31.2	no
src-key5-37	inverse bilinear in the source quad	90	1.69e-11	4.63e-10	yes
src-key5-37	homography from the source quad onto the bounds	90	1.69e-11	4.63e-10	yes
src-key6+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
src-key6+37	the source's bounding box, renormalized onto the bounds	90	32.9	32.9	no
src-key6+37	inverse bilinear in the source quad	90	4.06	4.06	no
src-key6+37	homography from the source quad onto the bounds	90	4.06	4.06	no
src-key6-37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
src-key6-37	the source's bounding box, renormalized onto the bounds	90	37	37	no
src-key6-37	inverse bilinear in the source quad	90	5.21	5.21	no
src-key6-37	homography from the source quad onto the bounds	90	5.21	5.21	no
src-key7+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
src-key7+37	the source's bounding box, renormalized onto the bounds	90	37	37	no
src-key7+37	inverse bilinear in the source quad	90	8.4	8.4	no
src-key7+37	homography from the source quad onto the bounds	90	8.4	8.4	no
src-key7-37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
src-key7-37	the source's bounding box, renormalized onto the bounds	90	31.2	31.2	no
src-key7-37	inverse bilinear in the source quad	90	5.78	5.78	no
src-key7-37	homography from the source quad onto the bounds	90	5.78	5.78	no
src-keys01	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.09e-11	6.34e-10	yes
src-keys01	the source's bounding box, renormalized onto the bounds	90	38	38	no
